StopId,StopAbbr,StopName,OnStreet,AtStreet,Lon,Lat,GeoStatus,InService,Zipcodes
12132.0,1019(NE),10th Av/19th St,S 10TH AVE,W 19TH ST,-110.974632,32.211012,-214748363.0,1.0,85701
12267.0,1019(SW),10th Av/19th St,S 10TH AVE,W 19TH ST,-110.97473,32.210549,-214748363.0,1.0,85701
14876.0,1020(SE),10th Av/20th St,S 10TH AVE,W 20TH ST,-110.974576,32.209145,-214748363.0,1.0,85701
12268.0,1021(NW),10th Av/21st St,S 10TH AVE,W 21ST ST,-110.974712,32.208244,-214748363.0,1.0,85701
12130.0,1023(NE),10th Av/23rd St,S 10TH AVE,W 23RD ST,-110.974584,32.205784,-214748363.0,1.0,85713
12079.0,1023(SW),10th Av/23rd St,S 10TH AVE,W 23RD ST,-110.974721,32.205241,-214748363.0,1.0,85713
12129.0,1026(NE),10th Av/26th St,S 10TH AVE,W 26TH ST,-110.97456,32.20276,-214748363.0,1.0,85713
12270.0,1026(SW),10th Av/26th St,S 10TH AVE,W 26TH ST,-110.974734,32.202366,-214748363.0,1.0,85713
156.0,1029(NE),10th Av/29th St,S 10TH AVE,W 29TH ST,-110.974531,32.199811,-214748363.0,1.0,85713
167.0,1029(NW),10th Av/29th St,S 10TH AVE,W 29TH ST,-110.974704,32.199785,-214748363.0,1.0,85713
12271.0,1032(NW),10th Av/32nd St,S 10TH AVE,W 32ND ST,-110.974619,32.196623,-214748363.0,1.0,85713
12128.0,1032(SE),10th Av/32nd St,S 10TH AV,W 32ND ST,-110.974425,32.196346,-214748363.0,1.0,85713
14872.0,1034(SW),10th Av/34th St,S 10TH AVE,W 34TH ST,-110.974662,32.194121,-214748363.0,1.0,85713
12127.0,1036(NE),10th Av/36th St,S 10TH AVE,W 36TH ST,-110.974474,32.192803,-214748363.0,1.0,85713
14871.0,1037(SW),10th Av/37th St,S 10TH AVE,W 37TH ST,-110.974629,32.191091,-214748363.0,1.0,85713
12125.0,1041(NE),10th Av/41st St,S 10TH AV,W 41ST ST,-110.974382,32.187965,-214748363.0,1.0,85713
12274.0,1041(SW),10th Av/41st St,S 10TH AVE,W 41ST ST,-110.974655,32.187385,-214748363.0,1.0,85713
