facility_name,facility_lat,facility_lon,business_status,bus_stop_name,bus_stop_lat,bus_stop_lon,distance_meters,distance_feet,nearby,name,address,latitude,longitude,place_id,business_status_facility,matched_keyword,business_type,category,phone,business_hours
Northwest Medical Center,32.3195149,-111.0090887,OPERATIONAL,La Cholla/Hospital Dr.,32.319062,-111.012169,337,1105.64,TRUE,Northwest Medical Center,"6200 N La Cholla Blvd, Tucson, AZ 85741, USA",32.3195149,-111.0090887,ChIJs6P52Zl01oYR8iKm6UGjTM4,OPERATIONAL,healthcare facility,"['hospital', 'health', 'point_of_interest', 'establishment']",hospital,+1 520-742-9000,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Tucson Medical Center,32.2524759,-110.8800722,OPERATIONAL,Grant/Beverly,32.250543,-110.879635,228,748.03,TRUE,Tucson Medical Center,"5301 E Grant Rd, Tucson, AZ 85712, USA",32.2524759,-110.8800722,ChIJVxUjvjhu1oYRw1I8g5MDV74,OPERATIONAL,healthcare facility,"['hospital', 'point_of_interest', 'health', 'establishment']",hospital,+1 520-327-5461,"Monday: 8:00 AM – 8:00 PM
Tuesday: 7:00 AM – 8:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM"
MHC Healthcare Clinica Del Alma Health Center,32.1802006,-110.9569657,OPERATIONAL,Park/Ajo(NW),32.178865,-110.956384,194,636.48,TRUE,MHC Healthcare Clinica Del Alma Health Center,"3690 S Park Ave #805, Tucson, AZ 85713, USA",32.1802006,-110.9569657,ChIJt2nxzXh61oYRAi_t1Ngf0M8,OPERATIONAL,healthcare facility,"['pharmacy', 'doctor', 'store', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-616-6760,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
MHC Healthcare Wilmot Family Health Center,32.232055,-110.858362,OPERATIONAL,Wilmot/Rosewood,32.232116,-110.858113,144,472.44,TRUE,MHC Healthcare Wilmot Family Health Center,"899 N Wilmot Rd, Tucson, AZ 85711, USA",32.232055,-110.858362,ChIJqwZWrQtv1oYRHWUaA0h2Y-A,OPERATIONAL,healthcare facility,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-290-1100,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed"
MHC Healthcare Primary Care Health Center,32.24954870000001,-110.8822725,OPERATIONAL,Grant/Rosemont,32.250521,-110.883348,223,731.63,TRUE,MHC Healthcare Primary Care Health Center,"2355 N Wyatt Dr STE 101, Tucson, AZ 85712, USA",32.24954870000001,-110.8822725,ChIJdQlQ7zhu1oYR43jgJ7nxzrY,OPERATIONAL,healthcare facility,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-616-4948,"Monday: 7:00 AM – 5:00 PM
Tuesday: 7:00 AM – 5:00 PM
Wednesday: 7:00 AM – 5:00 PM
Thursday: 7:00 AM – 5:00 PM
Friday: 7:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Northwest Medical Center Houghton,32.1951333,-110.7747247,OPERATIONAL,22nd St/Houghton,32.206509,-110.773947,1601,5252.62,FALSE,Northwest Medical Center Houghton,"2200 S Houghton Rd, Tucson, AZ 85748, USA",32.1951333,-110.7747247,ChIJQckgBRxh1oYRJ7_xDbCZYBI,OPERATIONAL,healthcare facility,"['hospital', 'point_of_interest', 'health', 'establishment']",hospital,+1 520-543-6100,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Barrio Healthcare,32.2635825,-110.9264582,OPERATIONAL,Country Club/Ft Lowell,32.26432,-110.926902,81,265.75,TRUE,Barrio Healthcare,"3112 N Country Club Rd, Tucson, AZ 85716, USA",32.2635825,-110.9264582,ChIJY7apI0xx1oYRVx06pMPnVRI,OPERATIONAL,healthcare facility,"['point_of_interest', 'health', 'establishment']",primary_care,+1 520-485-1033,"Monday: Closed
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed"
HealthOn Broadway,32.2208202,-110.9714337,OPERATIONAL,SL/Broadway/Stone,32.220952,-110.970796,60,196.85,TRUE,HealthOn Broadway,"1 W Broadway Blvd Suite #151, Tucson, AZ 85701, USA",32.2208202,-110.9714337,ChIJN3OOreFw1oYRZ3BoB7-dlHo,OPERATIONAL,healthcare facility,"['doctor', 'hospital', 'point_of_interest', 'health', 'establishment']",primary_care,+1 520-309-4200,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 12:00 PM
Sunday: Closed"
UA Campus Health Service,32.2282313,-110.9521498,OPERATIONAL,6th St/Highland,32.227929,-110.951856,27,88.58,TRUE,UA Campus Health Service,"1224 E Lowell St, Tucson, AZ 85721, USA",32.2282313,-110.9521498,ChIJ88VxaQBx1oYRSzg5dkHtcXM,OPERATIONAL,healthcare facility,"['point_of_interest', 'health', 'establishment']",primary_care,+1 520-621-9202,"Monday: 8:30 AM – 4:30 PM
Tuesday: 8:30 AM – 4:30 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 8:30 AM – 4:30 PM
Friday: 8:30 AM – 4:30 PM
Saturday: Closed
Sunday: Closed"
MHC Healthcare Flowing Wells Family Health Center,32.2716543,-110.9939025,OPERATIONAL,Prince/Flowing Wells,32.27205,-110.994471,118,387.14,TRUE,MHC Healthcare Flowing Wells Family Health Center,"1323 W Prince Rd, Tucson, AZ 85705, USA",32.2716543,-110.9939025,ChIJKUO-lflz1oYRkoLSrq2Rmwc,OPERATIONAL,healthcare facility,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-887-0800,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
HealthOn University,32.2315175,-110.9643823,OPERATIONAL,SL/University/3rd Av,32.231658,-110.964423,3,9.84,TRUE,HealthOn University,"434 E University Blvd #100, Tucson, AZ 85705, USA",32.2315175,-110.9643823,ChIJvTIkHkNx1oYRiwE3rSshRCE,OPERATIONAL,healthcare,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-309-4200,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Pinnacle HealthCare,32.2510735,-110.8714021,OPERATIONAL,Grant/Rainbow Vista,32.250813,-110.870887,70,229.66,TRUE,Pinnacle HealthCare,"5663 E Grant Rd, Tucson, AZ 85712, USA",32.2510735,-110.8714021,ChIJu6tH8Cp61oYRNMmVmx979Ls,OPERATIONAL,healthcare,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-433-4964,"Monday: 9:00 AM – 4:00 PM
Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 1:00 PM
Saturday: Closed
Sunday: Closed"
Community Partners Integrated Healthcare,32.1754653,-110.9558071,OPERATIONAL,Park/Palmdale,32.175473,-110.956207,92,301.84,TRUE,Community Partners Integrated Healthcare,"3939 S Park Ave, Tucson, AZ 85714, USA",32.1754653,-110.9558071,ChIJr8q2CHx61oYR_1ag968vp1w,OPERATIONAL,healthcare,"['point_of_interest', 'establishment']",primary_care,+1 520-333-4320,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
ArchWell Health,32.2212602,-110.8832633,OPERATIONAL,Broadway/Rosemont,32.221483,-110.883275,2,6.56,TRUE,ArchWell Health,"5100 E Broadway Blvd, Tucson, AZ 85711, USA",32.2212602,-110.8832633,ChIJ4W_wtlxv1oYRy_LjnBhbx7Q,OPERATIONAL,healthcare,"['hospital', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-613-3001,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Optima Medical - Tucson,32.2430212,-110.8665146,OPERATIONAL,Pima/Sahuara,32.24331,-110.866415,69,226.38,TRUE,Optima Medical - Tucson,"5902 E Pima St, Tucson, AZ 85712, USA",32.2430212,-110.8665146,ChIJdZc69rtv1oYR746Xr_eNnhM,OPERATIONAL,healthcare,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-886-5315,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: Closed
Sunday: Closed"
