X,Y,OBJECTID,StopId,StopAbbr,StopName,NodeAbbr,OnStreet,AtStreet,Lon,Lat,GeoStatus,Comments,BayNum,FacingDir,FareZoneId,CurbType,InService,Preferred,Bench,Shelter,Lighting,Garbage,Telephone,SignPost,Bicycle,Transfer,URL,DATASOURCE,UA
991352.580380578,441773.469488189,1,12132,1019(NE),10th Av/19th St, ,S 10TH AVE,W 19TH ST,-110974632,32211012,-214748363, ,G,1,0,W5,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12132.jpg,TDOT_BUSSTOPS,
991323.74606299,441604.76476378,2,12267,1019(SW),10th Av/19th St, ,S 10TH AVE,W 19TH ST,-110974730,32210549,-214748363,moved from the NW corner per DOT,G purple,1,0,W5,1,0,0,1,0,0,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12267.jpg,TDOT_BUSSTOPS,
991375.854002625,441094.407808401,3,14876,1020(SE),10th Av/20th St, ,S 10TH AVE,W 20TH ST,-110974576,32209145,-214748363,Solar auxiliary security lighting,G purple,1,0,W5,1,0,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/14876.jpg,TDOT_BUSSTOPS,
991336.661745407,440766.255905509,4,12268,1021(NW),10th Av/21st St, ,S 10TH AVE,W 21ST ST,-110974712,32208244,-214748363,Solar auxiliary security lighting,G-pl94,1,0,W5,1,1,0,1,1,0,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12268.jpg,TDOT_BUSSTOPS,
991384.095800526,439871.657152228,5,12130,1023(NE),10th Av/23rd St, ,S 10TH AVE,W 23RD ST,-110974584,32205784,-214748363, ,STu-pl??,1,0,W5,1,0,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12130.jpg,TDOT_BUSSTOPS,
991343.451115485,439673.742782153,6,12079,1023(SW),10th Av/23rd St, ,S 10TH AVE,W 23RD ST,-110974721,32205241,-214748363, ,G STu,1,0,W5,1,0,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12079.jpg,TDOT_BUSSTOPS,
991401.160104986,438771.593832023,7,12129,1026(NE),10th Av/26th St, ,S 10TH AVE,W 26TH ST,-110974560,32202760,-214748363, ,G STu,1,0,ST,1,0,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12129.jpg,TDOT_BUSSTOPS,
991348.594160106,438627.785433069,8,12270,1026(SW),10th Av/26th St, ,S 10TH AVE,W 26TH ST,-110974734,32202366,-214748363, ,G STu,1,0,ST,1,0,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12270.jpg,TDOT_BUSSTOPS,
991419.531824145,437698.829724409,9,156,1029(NE),10th Av/29th St,10AV29ST,S 10TH AVE,W 29TH ST,-110974531,32199811,-214748363, ,STu-ad,1,0,ST,1,0,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/156.jpg,TDOT_BUSSTOPS,
991366.100721784,437688.902230971,10,167,1029(NW),10th Av/29th St,10AV29ST,S 10TH AVE,W 29TH ST,-110974704,32199785,-214748363, ,STu-ad,1,0,ST,1,1,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/167.jpg,TDOT_BUSSTOPS,
991402.472440943,436538.8011811,11,12271,1032(NW),10th Av/32nd St, ,S 10TH AVE,W 32ND ST,-110974619,32196623,-214748363, , ,0,0,ST,1,0,0,0,0,1,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12271.jpg,TDOT_BUSSTOPS,
991463.367782153,436438.554790027,12,12128,1032(SE),10th Av/32nd St, ,S 10TH AV,W 32ND ST,-110974425,32196346,-214748363, , ,0,0,ST,1,0,0,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12128.jpg,TDOT_BUSSTOPS,
991397.144685041,435628.460629918,13,14872,1034(SW),10th Av/34th St, ,S 10TH AVE,W 34TH ST,-110974662,32194121,-214748363, ,STad-rd08,1,0,ST,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/14872.jpg,TDOT_BUSSTOPS,
991459.503608923,435149.483923882,14,12127,1036(NE),10th Av/36th St, ,S 10TH AVE,W 36TH ST,-110974474,32192803,-214748363, , ,0,0,ST,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12127.jpg,TDOT_BUSSTOPS,
991417.009514436,434526.241141729,15,14871,1037(SW),10th Av/37th St, ,S 10TH AVE,W 37TH ST,-110974629,32191091,-214748363, ,G STu,1,0,ST,1,0,0,1,1,1,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/14871.jpg,TDOT_BUSSTOPS,
991503.385498688,433389.677165352,16,12125,1041(NE),10th Av/41st St, ,S 10TH AV,W 41ST ST,-110974382,32187965,-214748363, ,STu-ad,1,0,W5,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12125.jpg,TDOT_BUSSTOPS,
991420.775262468,433177.934711285,17,12274,1041(SW),10th Av/41st St, ,S 10TH AVE,W 41ST ST,-110974655,32187385,-214748363, ,STu-ad,1,0,W5,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12274.jpg,TDOT_BUSSTOPS,
991142.972769029,432502.061023623,18,12124,1044(NE),10th Av/44th St, ,S 10TH AV,W 43RD ST,-110975572,32185534,-214748363, ,G purple,1,0,W5,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12124.jpg,TDOT_BUSSTOPS,
990991.144028872,432492.001312338,19,12275,1044(NW),10th Av/44th St, ,S 10TH AVE,W 43RD ST,-110976063,32185510,-214748363, ,G purple,1,0,W5,1,0,0,1,0,0,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12275.jpg,TDOT_BUSSTOPS,
994043.669947505,445056.33858268,20,12025,124A(NW),12th St/4th Av,12ST04AV,E 12TH ST,S HERBERT AVE,-110965838,32219970,-214748363, , , ,0,W6,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12025.jpg,TDOT_BUSSTOPS,
990572.780839894,429769.114829399,21,331,12AJ(NE),12th Av/Ajo, ,S 12TH AVE,W AJO WAY,-110977492,32178036,-214748363,solar lighting installed 02-12-13 per Tom Fisher,ACI-bl15,1,0,W5,1,0,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/331.jpg,TDOT_BUSSTOPS,
990499.895669293,429611.306102365,22,338,12AJ(SW),12th Av/Ajo, ,S 12TH AVE,W AJO WAY,-110977732,32177604,-214748363, ,Cac-ad,1,0,W1,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/338.jpg,TDOT_BUSSTOPS,
990683.541666668,417856.293963253,23,12107,12AL(NE),12th Av/C Alvord, ,S 12TH AVE,W C RAMONA,-110977470,32145290,-214748363, ,ACI-bl20,1,0,W5,1,0,1,1,1,0,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12107.jpg,TDOT_BUSSTOPS,
990589.252296589,417629.537729658,24,14952,12AL(SW),12th Av/C Alvord, ,S 12TH AVE,W C ALVORD,-110977781,32144669,-214748364, , , ,0,W5,1,0,0,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/14952.jpg,TDOT_BUSSTOPS,
990708.912073489,416544.568897635,25,12106,12BI(NE),12th Av/Bilby, ,S 12TH AVE,W BILBY RD,-110977425,32141684,-214748364,moved from Goret @ Dales Crossing SW, ,1,0,W5,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/12106.jpg,TDOT_BUSSTOPS,
990594.589566927,420141.057086617,26,12287,12CA(NW),12th Av/Canada Dr, ,S 12TH AVE,W CANADA ST,-110977693,32151572,-214748363, ,S1-pl05,1,0,W1,1,0,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12287.jpg,TDOT_BUSSTOPS,
