OBJECTID,ZIPCODE,ZIPCITY,ALTCITY,ZIPTYPE,created_user,last_edited_user,created_date,last_edited_date,ShapeSTArea,ShapeSTLength
1,85321,AJO,WHY,STANDARD,,,,,35080005445.1182,1090050.04781277
2,85341,LUKEVILLE,,PO BOX ONLY,,,,,7701610733.62428,800319.573392976
3,85634,SELLS,PISINEMO,STANDARD,,,,,92090175581.0379,1438168.83625367
4,85639,TOPAWA, ,PO BOX ONLY,,,,,10100161567.3413,464211.248363897
5,85633,SASABE, ,PO BOX ONLY,,,,,842934623.464395,189425.814601534
6,85601,ARIVACA, ,PO BOX ONLY,,,,,4723081912.2724,356159.975095542
7,85645,AMADO, ,STANDARD,,,,,3600987530.59722,425601.19839533
8,85658,MARANA, ,STANDARD,,,,,1872397628.21564,255850.210180137
9,85742,TUCSON, ,STANDARD,,,,,139525763.475726,55710.3660553684
10,85742,TUCSON, ,STANDARD,,,,,4294690.96415591,13155.3228648643
11,85741,TUCSON,,STANDARD,,,,,263649343.499078,104341.965833761
12,85701,TUCSON, ,STANDARD,,,,,37110488.8204932,44089.2018039808
13,85614,GREEN VALLEY,MADERA CANYON,STANDARD,,,,,2444668922.26909,389404.365577307
14,85622,GREEN VALLEY,,STANDARD,,,,,252103845.421579,124174.392854415
15,85629,SAHUARITA, ,STANDARD,,,,,8720462774.17062,764190.218601657
16,85637,SONOITA, ,STANDARD,,,,,3023700750.69397,317385.362755838
17,85611,ELGIN, ,STANDARD,,,,,990930981.621622,126402.579968154
18,85641,VAIL,CORONA DE TUCSON,STANDARD,,,,,10779744029.0433,614830.65062717
19,85602,BENSON, ,STANDARD,,,,,8518825173.4372,619499.916190382
20,85747,TUCSON, ,STANDARD,,,,,2037908469.85735,310104.29219085
21,85707,TUCSON,DAVIS MONTHAN AFB,PO BOX ONLY,,,,,366240204.176439,137444.897914062
22,85708,TUCSON, ,STANDARD,,,,,83936033.6826339,42585.4219698314
23,85730,TUCSON, ,STANDARD,,,,,936223799.468653,213211.453107161
24,85749,TUCSON, ,STANDARD,,,,,1501315592.2906,202629.818235974
25,85704,TUCSON,ORO VALLEY,STANDARD,,,,,527784654.742569,158542.95441991
26,85750,TUCSON, ,STANDARD,,,,,1762385866.26109,205228.29823214
27,85619,MOUNT LEMMON, ,PO BOX ONLY,,,,,2949357397.63578,255648.120334043
28,85739,TUCSON,SADDLEBROOKE,STANDARD,,,,,751450400.320861,113610.705052431
29,85737,TUCSON,ORO VALLEY,STANDARD,,,,,1137161604.61604,201480.536249434
30,85726,TUCSON,,STANDARD,,,,,865182.838125857,3809.62842741447
31,85736,TUCSON, ,STANDARD,,,,,17374412881.699,838466.971122705
32,85735,TUCSON, ,STANDARD,,,,,7478080097.29043,509398.100663314
33,85653,MARANA, ,STANDARD,,,,,11944336072.574,708240.513025673
34,85743,TUCSON, ,STANDARD,,,,,3059460620.30562,349924.981487777
35,85742,TUCSON, ,STANDARD,,,,,689074133.835742,174201.146760612
36,85755,TUCSON,ORO VALLEY,STANDARD,,,,,824638068.041063,136320.34601738
37,85705,TUCSON, ,STANDARD,,,,,368157299.740105,131185.604190756
38,85745,TUCSON, ,STANDARD,,,,,1321332020.36411,199858.018250329
39,85746,TUCSON, ,STANDARD,,,,,3295865377.60526,312410.802437975
40,85713,TUCSON,,STANDARD,,,,,599412387.478108,219992.935493533
41,85757,TUCSON, ,STANDARD,,,,,564952631.153624,128245.836324835
42,85756,TUCSON, ,STANDARD,,,,,2279862668.92724,251241.185059653
43,85706,TUCSON, ,STANDARD,,,,,363671224.936686,150142.070272373
44,85714,TUCSON, ,STANDARD,,,,,169625093.526722,120653.116700732
45,85748,TUCSON, ,STANDARD,,,,,485110375.759292,171917.12493226
46,85710,TUCSON, ,STANDARD,,,,,335056148.367431,111115.131939286
47,85715,TUCSON, ,STANDARD,,,,,171020089.993929,102233.138118242
48,85718,TUCSON, ,STANDARD,,,,,679667044.982758,142499.464930464
49,85711,TUCSON, ,STANDARD,,,,,256636582.520156,84452.3700185041
50,85712,TUCSON, ,STANDARD,,,,,196593899.021533,78330.0497767093
51,85716,TUCSON, ,STANDARD,,,,,196061546.747679,96741.1647879841
52,85719,TUCSON, ,STANDARD,,,,,224059969.862952,120561.544541009
53,85724,TUCSON, ,STANDARD,,,,,1126146.55805903,6939.16942558208
54,85723,TUCSON,,STANDARD,,,,,3561762.54418967,9740.5411815878
